tau_s,R_V
10.0,5.03215e-05
114.73684210526316,4.97999e-05
219.47368421052633,4.93901e-05
324.2105263157895,4.96062e-05
428.94736842105266,4.99377e-05
533.6842105263158,4.97627e-05
638.421052631579,4.99713e-05
743.1578947368422,4.99191e-05
847.8947368421053,4.91778e-05
952.6315789473684,4.94572e-05
1057.3684210526317,5.04556e-05
1162.1052631578948,4.88313e-05
1266.842105263158,5.08057e-05
1371.578947368421,5.02171e-05
1476.3157894736844,5.07573e-05
1581.0526315789475,4.94237e-05
1685.7894736842106,4.95987e-05
1790.5263157894738,5.02693e-05
1895.2631578947369,4.98446e-05
2000.0,5.05301e-05
10.0,5.04854e-05
114.73684210526316,4.93752e-05
219.47368421052633,5.05599e-05
324.2105263157895,5.04034e-05
428.94736842105266,4.86302e-05
533.6842105263158,4.97962e-05
638.421052631579,4.96174e-05
743.1578947368422,5.09659e-05
847.8947368421053,5.02991e-05
952.6315789473684,5.08393e-05
1057.3684210526317,4.98446e-05
1162.1052631578948,4.98819e-05
1266.842105263158,4.97925e-05
1371.578947368421,4.98372e-05
1476.3157894736844,4.99228e-05
1581.0526315789475,5.06977e-05
1685.7894736842106,5.05226e-05
1790.5263157894738,4.87717e-05
1895.2631578947369,4.98334e-05
2000.0,5.03513e-05
