freq_Hz,R_V
2860000000.0,4.54953e-07
2860200000.0,4.2096e-07
2860400000.0,2.68223e-07
2860600000.0,3.56233e-07
2860800000.0,3.1898e-07
2861000000.0,3.31087e-07
2861200000.0,5.86271e-07
2861400000.0,9.10371e-07
2861600000.0,6.96633e-07
2861800000.0,8.93608e-07
2862000000.0,6.27715e-07
2862200000.0,6.96633e-07
2862400000.0,7.32489e-07
2862600000.0,7.20382e-07
2862800000.0,9.53212e-07
2863000000.0,8.94073e-07
2863200000.0,8.27484e-07
2863400000.0,1.15624e-06
2863600000.0,1.29035e-06
2863800000.0,1.32854e-06
2864000000.0,1.29455e-06
2864200000.0,1.17161e-06
2864400000.0,1.60421e-06
2864600000.0,1.43471e-06
2864800000.0,1.3914e-06
2865000000.0,1.47988e-06
2865200000.0,1.6694e-06
2865400000.0,1.95952e-06
2865600000.0,2.1225e-06
2865800000.0,2.25428e-06
2866000000.0,2.48665e-06
2866200000.0,2.44986e-06
2866400000.0,3.11343e-06
2866600000.0,3.14649e-06
2866800000.0,4.18306e-06
2867000000.0,4.28504e-06
2867200000.0,5.82219e-06
2867400000.0,6.58634e-06
2867600000.0,7.4413e-06
2867800000.0,8.57055e-06
2868000000.0,9.36125e-06
2868200000.0,9.77289e-06
2868400000.0,1.02171e-05
2868600000.0,9.77662e-06
2868800000.0,9.46043e-06
2869000000.0,8.98918e-06
2869200000.0,8.61293e-06
2869400000.0,8.53563e-06
2869600000.0,8.52352e-06
2869800000.0,8.57987e-06
2870000000.0,9.03156e-06
2870200000.0,8.26927e-06
2870400000.0,7.40404e-06
2870600000.0,7.46272e-06
2870800000.0,8.30652e-06
2871000000.0,8.8113e-06
2871200000.0,8.70141e-06
2871400000.0,8.67393e-06
2871600000.0,8.86951e-06
2871800000.0,8.72422e-06
2872000000.0,9.3822e-06
2872200000.0,9.45205e-06
2872400000.0,9.68814e-06
2872600000.0,9.81247e-06
2872800000.0,9.70258e-06
2873000000.0,8.83226e-06
2873200000.0,7.90093e-06
2873400000.0,6.98495e-06
2873600000.0,6.23197e-06
2873800000.0,4.8783e-06
2874000000.0,3.95442e-06
2874200000.0,3.50691e-06
2874400000.0,2.90434e-06
2874600000.0,3.0487e-06
2874800000.0,2.6757e-06
2875000000.0,2.73997e-06
2875200000.0,2.21517e-06
2875400000.0,1.81236e-06
2875600000.0,1.75648e-06
2875800000.0,1.64891e-06
2876000000.0,1.68058e-06
2876200000.0,1.73134e-06
2876400000.0,1.41282e-06
2876600000.0,1.21492e-06
2876800000.0,1.03424e-06
2877000000.0,1.05846e-06
2877200000.0,1.16323e-06
2877400000.0,9.5601e-07
2877600000.0,1.06544e-06
2877800000.0,7.46924e-07
2878000000.0,5.31789e-07
2878200000.0,9.56476e-07
2878400000.0,6.1002e-07
2878600000.0,1.0822e-06
2878800000.0,7.35283e-07
2879000000.0,7.10603e-07
2879200000.0,7.88368e-07
2879400000.0,7.9675e-07
2879600000.0,9.22479e-07
2879800000.0,5.14559e-07
2880000000.0,6.33303e-07
2860000000.0,4.01868e-07
2860200000.0,4.13975e-07
2860400000.0,2.96628e-07
