tau_us,R_V
0.05,5.44789e-05
0.089,7.29566e-05
0.128,7.95131e-05
0.16699999999999998,7.98707e-05
0.20600000000000002,7.79037e-05
0.245,7.76057e-05
0.284,7.55196e-05
0.323,7.41486e-05
0.362,7.22413e-05
0.40099999999999997,7.17645e-05
0.44,7.20625e-05
0.479,7.33738e-05
0.518,7.39102e-05
0.557,7.4089e-05
0.5960000000000001,7.39102e-05
0.635,7.4089e-05
0.674,7.25393e-05
0.7130000000000001,7.18241e-05
0.752,7.08108e-05
0.791,7.1228e-05
0.8300000000000001,7.18837e-05
0.869,7.20625e-05
0.908,7.30162e-05
0.9470000000000001,7.43275e-05
0.986,7.52811e-05
1.025,7.65924e-05
1.064,7.61752e-05
1.103,7.64136e-05
1.1420000000000001,7.6652e-05
1.181,7.67116e-05
1.22,7.67116e-05
1.2590000000000001,7.61752e-05
1.298,7.65924e-05
1.337,7.6652e-05
1.3760000000000001,7.71885e-05
1.415,7.88574e-05
1.454,7.77249e-05
1.493,7.77249e-05
1.532,7.8321e-05
1.571,7.83806e-05
1.61,7.90362e-05
1.649,7.8917e-05
1.688,7.90958e-05
1.727,7.93939e-05
1.766,7.91554e-05
1.805,8.05263e-05
1.844,7.97515e-05
1.883,8.01091e-05
1.922,8.03475e-05
1.961,8.05859e-05
2.0,8.05859e-05
0.05,5.41213e-05
0.089,7.28969e-05
0.128,7.98707e-05
0.16699999999999998,8.00495e-05
0.20600000000000002,7.80229e-05
0.245,7.79633e-05
0.284,7.56388e-05
0.323,7.4089e-05
0.362,7.25989e-05
0.40099999999999997,7.17049e-05
0.44,7.24797e-05
0.479,7.35526e-05
0.518,7.41486e-05
0.557,7.46255e-05
0.5960000000000001,7.45063e-05
0.635,7.42679e-05
0.674,7.26585e-05
0.7130000000000001,7.19433e-05
0.752,7.10492e-05
0.791,7.18241e-05
0.8300000000000001,7.20029e-05
0.869,7.24797e-05
0.908,7.35526e-05
0.9470000000000001,7.49831e-05
0.986,7.58176e-05
1.025,7.71885e-05
1.064,7.59964e-05
1.103,7.65328e-05
1.1420000000000001,7.6652e-05
1.181,7.69501e-05
1.22,7.67116e-05
1.2590000000000001,7.65328e-05
1.298,7.70693e-05
1.337,7.6652e-05
1.3760000000000001,7.74865e-05
1.415,7.82614e-05
1.454,7.76653e-05
1.493,7.80826e-05
1.532,7.77845e-05
1.571,7.82614e-05
1.61,7.85594e-05
1.649,7.87382e-05
1.688,7.8917e-05
1.727,7.94535e-05
1.766,7.96919e-05
1.805,8.06456e-05
1.844,7.99303e-05
1.883,8.01687e-05
1.922,8.04667e-05
1.961,8.0884e-05
2.0,8.06456e-05
